Sample;s1(i1)
V-V length(cm);1.000000
Field (T);5.023044
Temp (K);4.200000
Angle (deg.);0.000000
Field(T)_memo;5.000000
Time(sec.)	Current(A)	Voltage(uV)	Temp.1(K)	Temp.2(K)	Temp.3(K)
0.000000E+0	8.489073E-4	-5.021287E-6	3.301310E+2	6.766900E+1	1.410000E+0
8.100000E-2	8.352743E-4	-9.038317E-6	3.301310E+2	6.766900E+1	1.410000E+0
9.000000E-2	8.352743E-4	-9.038317E-6	3.301310E+2	6.766900E+1	1.410000E+0
1.720000E-1	1.024268E-2	1.255322E-5	3.301310E+2	6.766900E+1	1.410000E+0
1.810000E-1	1.024268E-2	1.255322E-5	3.301310E+2	6.766900E+1	1.410000E+0
2.620000E-1	1.187544E-2	0.000000E+0	3.301310E+2	6.766900E+1	1.410000E+0
2.750000E-1	1.187544E-2	0.000000E+0	3.301310E+2	6.766900E+1	1.410000E+0
3.580000E-1	2.290418E-2	6.025545E-6	3.301310E+2	6.766900E+1	1.410000E+0
3.680000E-1	2.290418E-2	6.025545E-6	3.301310E+2	6.766900E+1	1.410000E+0
4.520000E-1	2.290358E-2	1.305535E-5	3.301310E+2	6.766900E+1	1.410000E+0
4.610000E-1	2.290358E-2	1.305535E-5	3.301310E+2	6.766900E+1	1.410000E+0
5.740000E-1	2.810499E-2	3.163411E-5	3.301310E+2	6.766900E+1	1.410000E+0
5.820000E-1	2.810499E-2	3.163411E-5	3.301310E+2	6.766900E+1	1.410000E+0
6.620000E-1	3.696387E-2	2.862134E-5	3.301310E+2	6.766900E+1	1.410000E+0
6.710000E-1	3.696387E-2	2.862134E-5	3.301310E+2	6.766900E+1	1.410000E+0
7.520000E-1	3.937211E-2	-1.255322E-5	3.301310E+2	6.766900E+1	1.410000E+0
7.610000E-1	3.937211E-2	-1.255322E-5	3.301310E+2	6.766900E+1	1.410000E+0
8.420000E-1	5.040305E-2	4.268094E-5	3.301310E+2	6.766900E+1	1.410000E+0
8.500000E-1	5.040305E-2	4.268094E-5	3.301310E+2	6.766900E+1	1.410000E+0
