Sample;s1(i1)
V-V length(cm);1.000000
Field (T);1.005650
Temp (K);4.200000
Angle (deg.);0.000000
Field(T)_memo;3.000000
Time(sec.)	Current(A)	Voltage(uV)	Temp.1(K)	Temp.2(K)	Temp.3(K)
0.000000E+0	8.677552E-4	-5.021256E-6	3.301310E+2	6.766900E+1	1.410000E+0
8.000000E-3	8.587333E-4	4.519131E-6	3.301310E+2	6.766900E+1	1.410000E+0
1.700000E-2	8.587333E-4	4.519131E-6	3.301310E+2	6.766900E+1	1.410000E+0
1.280000E-1	1.986565E-2	1.456164E-5	3.301310E+2	6.766900E+1	1.410000E+0
1.370000E-1	1.986565E-2	1.456164E-5	3.301310E+2	6.766900E+1	1.410000E+0
2.170000E-1	4.641086E-2	1.305527E-5	3.301310E+2	6.766900E+1	1.410000E+0
2.300000E-1	4.641086E-2	1.305527E-5	3.301310E+2	6.766900E+1	1.410000E+0
3.130000E-1	6.994556E-2	-4.519131E-6	3.301310E+2	6.766900E+1	1.410000E+0
3.220000E-1	6.994556E-2	-4.519131E-6	3.301310E+2	6.766900E+1	1.410000E+0
4.030000E-1	8.495197E-2	6.025507E-6	3.301310E+2	6.766900E+1	1.410000E+0
4.120000E-1	8.495197E-2	6.025507E-6	3.301310E+2	6.766900E+1	1.410000E+0
4.980000E-1	1.099426E-1	2.209353E-5	3.301310E+2	6.766900E+1	1.410000E+0
5.070000E-1	1.099426E-1	2.209353E-5	3.301310E+2	6.766900E+1	1.410000E+0
6.170000E-1	1.352542E-1	2.510628E-6	3.301310E+2	6.766900E+1	1.410000E+0
6.260000E-1	1.352542E-1	2.510628E-6	3.301310E+2	6.766900E+1	1.410000E+0
7.070000E-1	1.575706E-1	1.757440E-5	3.301310E+2	6.766900E+1	1.410000E+0
7.160000E-1	1.575706E-1	1.757440E-5	3.301310E+2	6.766900E+1	1.410000E+0
7.970000E-1	1.801642E-1	1.154889E-5	3.301310E+2	6.766900E+1	1.410000E+0
8.060000E-1	1.801642E-1	1.154889E-5	3.301310E+2	6.766900E+1	1.410000E+0
8.870000E-1	1.972166E-1	9.540387E-6	3.301310E+2	6.766900E+1	1.410000E+0
8.960000E-1	1.972166E-1	9.540387E-6	3.301310E+2	6.766900E+1	1.410000E+0
9.770000E-1	2.174571E-1	1.255314E-5	3.301310E+2	6.766900E+1	1.410000E+0
9.860000E-1	2.174571E-1	1.255314E-5	3.301310E+2	6.766900E+1	1.410000E+0
1.101000E+0	2.466236E-1	1.857827E-5	3.301310E+2	6.766900E+1	1.410000E+0
1.110000E+0	2.466236E-1	1.857827E-5	3.301310E+2	6.766900E+1	1.410000E+0
1.194000E+0	2.622906E-1	9.037881E-6	3.301310E+2	6.766900E+1	1.410000E+0
1.207000E+0	2.622906E-1	9.037881E-6	3.301310E+2	6.766900E+1	1.410000E+0
1.287000E+0	2.966748E-1	2.108890E-5	3.301310E+2	6.766900E+1	1.410000E+0
1.296000E+0	2.966748E-1	2.108890E-5	3.301310E+2	6.766900E+1	1.410000E+0
1.377000E+0	3.181610E-1	1.004213E-5	3.301310E+2	6.766900E+1	1.410000E+0
1.386000E+0	3.181610E-1	1.004213E-5	3.301310E+2	6.766900E+1	1.410000E+0
1.466000E+0	3.400948E-1	8.535756E-6	3.301310E+2	6.766900E+1	1.410000E+0
1.475000E+0	3.400948E-1	8.535756E-6	3.301310E+2	6.766900E+1	1.410000E+0
1.588000E+0	3.573326E-1	1.205064E-5	3.301310E+2	6.766900E+1	1.410000E+0
1.597000E+0	3.573326E-1	1.205064E-5	3.301310E+2	6.766900E+1	1.410000E+0
1.677000E+0	3.875343E-1	8.535756E-6	3.301310E+2	6.766900E+1	1.410000E+0
1.686000E+0	3.875343E-1	8.535756E-6	3.301310E+2	6.766900E+1	1.410000E+0
1.766000E+0	4.076314E-1	-1.506758E-6	3.301310E+2	6.766900E+1	1.410000E+0
1.775000E+0	4.076314E-1	-1.506758E-6	3.301310E+2	6.766900E+1	1.410000E+0
1.856000E+0	4.285540E-1	1.556552E-5	3.301310E+2	6.766900E+1	1.410000E+0
1.865000E+0	4.285540E-1	1.556552E-5	3.301310E+2	6.766900E+1	1.410000E+0
1.946000E+0	4.506604E-1	1.405914E-5	3.301310E+2	6.766900E+1	1.410000E+0
1.955000E+0	4.506604E-1	1.405914E-5	3.301310E+2	6.766900E+1	1.410000E+0
2.067000E+0	4.676487E-1	1.104638E-5	3.301310E+2	6.766900E+1	1.410000E+0
2.076000E+0	4.676487E-1	1.104638E-5	3.301310E+2	6.766900E+1	1.410000E+0
2.156000E+0	4.999322E-1	1.054426E-5	3.301310E+2	6.766900E+1	1.410000E+0
2.165000E+0	4.999322E-1	1.054426E-5	3.301310E+2	6.766900E+1	1.410000E+0
2.246000E+0	5.108118E-1	2.661228E-5	3.301310E+2	6.766900E+1	1.410000E+0
2.261000E+0	5.108118E-1	2.661228E-5	3.301310E+2	6.766900E+1	1.410000E+0
2.345000E+0	5.518983E-1	1.154851E-5	3.301310E+2	6.766900E+1	1.410000E+0
2.354000E+0	5.518983E-1	1.154851E-5	3.301310E+2	6.766900E+1	1.410000E+0
2.436000E+0	5.650143E-1	3.313991E-5	3.301310E+2	6.766900E+1	1.410000E+0
2.445000E+0	5.650143E-1	3.313991E-5	3.301310E+2	6.766900E+1	1.410000E+0
2.556000E+0	5.880620E-1	-1.004632E-6	3.301310E+2	6.766900E+1	1.410000E+0
