Sample;s4(j1)
V-V length(cm);1.000000
Field (T);11.049493
Temp (K);4.200000
Angle (deg.);0.000000
Field(T)_memo;11.000000
Time(sec.)	Current(A)	Voltage(uV)	Temp.1(K)	Temp.2(K)	Temp.3(K)
0.000000E+0	6.776894E-4	4.925970E-4	3.301310E+2	6.766900E+1	1.410000E+0
3.300000E-2	6.746821E-4	3.615391E-4	3.301310E+2	6.766900E+1	1.410000E+0
4.200000E-2	6.746821E-4	3.615391E-4	3.301310E+2	6.766900E+1	1.410000E+0
1.220000E-1	6.802957E-4	2.776821E-4	3.301310E+2	6.766900E+1	1.410000E+0
1.300000E-1	6.802957E-4	2.776821E-4	3.301310E+2	6.766900E+1	1.410000E+0
2.120000E-1	6.740807E-4	3.986973E-4	3.301310E+2	6.766900E+1	1.410000E+0
2.210000E-1	6.740807E-4	3.986973E-4	3.301310E+2	6.766900E+1	1.410000E+0
3.020000E-1	6.708729E-4	4.017101E-6	3.301310E+2	6.766900E+1	1.410000E+0
3.110000E-1	6.708729E-4	4.017101E-6	3.301310E+2	6.766900E+1	1.410000E+0
3.930000E-1	6.794938E-4	2.254598E-4	3.301310E+2	6.766900E+1	1.410000E+0
4.020000E-1	6.794938E-4	2.254598E-4	3.301310E+2	6.766900E+1	1.410000E+0
5.140000E-1	6.802957E-4	4.383661E-4	3.301310E+2	6.766900E+1	1.410000E+0
5.220000E-1	6.802957E-4	4.383661E-4	3.301310E+2	6.766900E+1	1.410000E+0
6.020000E-1	1.142572E-2	4.838653E-1	3.301310E+2	6.766900E+1	1.410000E+0
6.110000E-1	1.142572E-2	4.838653E-1	3.301310E+2	6.766900E+1	1.410000E+0
6.910000E-1	1.168815E-2	4.971173E-1	3.301310E+2	6.766900E+1	1.410000E+0
6.990000E-1	1.168815E-2	4.971173E-1	3.301310E+2	6.766900E+1	1.410000E+0
7.820000E-1	1.169938E-2	4.974426E-1	3.301310E+2	6.766900E+1	1.410000E+0
7.910000E-1	1.169938E-2	4.974426E-1	3.301310E+2	6.766900E+1	1.410000E+0
8.720000E-1	1.169758E-2	4.971434E-1	3.301310E+2	6.766900E+1	1.410000E+0
8.840000E-1	1.169758E-2	4.971434E-1	3.301310E+2	6.766900E+1	1.410000E+0
1.000000E+0	1.170358E-2	4.972021E-1	3.301310E+2	6.766900E+1	1.410000E+0
1.008000E+0	1.170358E-2	4.972021E-1	3.301310E+2	6.766900E+1	1.410000E+0
1.091000E+0	1.170018E-2	4.971911E-1	3.301310E+2	6.766900E+1	1.410000E+0
1.100000E+0	1.170018E-2	4.971911E-1	3.301310E+2	6.766900E+1	1.410000E+0
1.181000E+0	1.169597E-2	4.971429E-1	3.301310E+2	6.766900E+1	1.410000E+0
1.190000E+0	1.169597E-2	4.971429E-1	3.301310E+2	6.766900E+1	1.410000E+0
1.272000E+0	1.169637E-2	4.973186E-1	3.301310E+2	6.766900E+1	1.410000E+0
1.280000E+0	1.169637E-2	4.973186E-1	3.301310E+2	6.766900E+1	1.410000E+0
1.362000E+0	1.169216E-2	4.971504E-1	3.301310E+2	6.766900E+1	1.410000E+0
1.371000E+0	1.169216E-2	4.971504E-1	3.301310E+2	6.766900E+1	1.410000E+0
1.483000E+0	1.169396E-2	4.973720E-1	3.301310E+2	6.766900E+1	1.410000E+0
1.492000E+0	1.169396E-2	4.973720E-1	3.301310E+2	6.766900E+1	1.410000E+0
1.572000E+0	1.168975E-2	4.971375E-1	3.301310E+2	6.766900E+1	1.410000E+0
1.582000E+0	1.168975E-2	4.971375E-1	3.301310E+2	6.766900E+1	1.410000E+0
1.662000E+0	1.719949E-2	7.561873E-1	3.301310E+2	6.766900E+1	1.410000E+0
1.670000E+0	1.719949E-2	7.561873E-1	3.301310E+2	6.766900E+1	1.410000E+0
1.752000E+0	2.272968E-2	1.016548E+0	3.301310E+2	6.766900E+1	1.410000E+0
1.761000E+0	2.272968E-2	1.016548E+0	3.301310E+2	6.766900E+1	1.410000E+0
1.843000E+0	2.273129E-2	1.016694E+0	3.301310E+2	6.766900E+1	1.410000E+0
1.856000E+0	2.273129E-2	1.016694E+0	3.301310E+2	6.766900E+1	1.410000E+0
1.968000E+0	2.272888E-2	1.016305E+0	3.301310E+2	6.766900E+1	1.410000E+0
1.978000E+0	2.272888E-2	1.016305E+0	3.301310E+2	6.766900E+1	1.410000E+0
2.063000E+0	2.273449E-2	1.016721E+0	3.301310E+2	6.766900E+1	1.410000E+0
2.071000E+0	2.273449E-2	1.016721E+0	3.301310E+2	6.766900E+1	1.410000E+0
2.152000E+0	2.273108E-2	1.016678E+0	3.301310E+2	6.766900E+1	1.410000E+0
2.161000E+0	2.273108E-2	1.016678E+0	3.301310E+2	6.766900E+1	1.410000E+0
2.242000E+0	2.274412E-2	1.017042E+0	3.301310E+2	6.766900E+1	1.410000E+0
2.251000E+0	2.274412E-2	1.017042E+0	3.301310E+2	6.766900E+1	1.410000E+0
2.333000E+0	2.273169E-2	1.016727E+0	3.301310E+2	6.766900E+1	1.410000E+0
2.342000E+0	2.273169E-2	1.016727E+0	3.301310E+2	6.766900E+1	1.410000E+0
2.453000E+0	2.273610E-2	1.016561E+0	3.301310E+2	6.766900E+1	1.410000E+0
2.462000E+0	2.273610E-2	1.016561E+0	3.301310E+2	6.766900E+1	1.410000E+0
2.541000E+0	2.274532E-2	1.017038E+0	3.301310E+2	6.766900E+1	1.410000E+0
2.550000E+0	2.274532E-2	1.017038E+0	3.301310E+2	6.766900E+1	1.410000E+0
2.633000E+0	2.273289E-2	1.016585E+0	3.301310E+2	6.766900E+1	1.410000E+0
2.642000E+0	2.273289E-2	1.016585E+0	3.301310E+2	6.766900E+1	1.410000E+0
2.722000E+0	2.822739E-2	1.278565E+0	3.301310E+2	6.766900E+1	1.410000E+0
2.731000E+0	2.822739E-2	1.278565E+0	3.301310E+2	6.766900E+1	1.410000E+0
2.812000E+0	2.823962E-2	1.279379E+0	3.301310E+2	6.766900E+1	1.410000E+0
2.825000E+0	2.823962E-2	1.279379E+0	3.301310E+2	6.766900E+1	1.410000E+0
2.940000E+0	2.824904E-2	1.279941E+0	3.301310E+2	6.766900E+1	1.410000E+0
2.949000E+0	2.824904E-2	1.279941E+0	3.301310E+2	6.766900E+1	1.410000E+0
3.033000E+0	2.825666E-2	1.280132E+0	3.301310E+2	6.766900E+1	1.410000E+0
3.042000E+0	2.825666E-2	1.280132E+0	3.301310E+2	6.766900E+1	1.410000E+0
3.122000E+0	2.825506E-2	1.279966E+0	3.301310E+2	6.766900E+1	1.410000E+0
3.131000E+0	2.825506E-2	1.279966E+0	3.301310E+2	6.766900E+1	1.410000E+0
3.212000E+0	2.825065E-2	1.280007E+0	3.301310E+2	6.766900E+1	1.410000E+0
3.220000E+0	2.825065E-2	1.280007E+0	3.301310E+2	6.766900E+1	1.410000E+0
3.303000E+0	2.825626E-2	1.279671E+0	3.301310E+2	6.766900E+1	1.410000E+0
3.310000E+0	2.825626E-2	1.279671E+0	3.301310E+2	6.766900E+1	1.410000E+0
3.423000E+0	2.826248E-2	1.280359E+0	3.301310E+2	6.766900E+1	1.410000E+0
3.432000E+0	2.826248E-2	1.280359E+0	3.301310E+2	6.766900E+1	1.410000E+0
3.513000E+0	2.824804E-2	1.279913E+0	3.301310E+2	6.766900E+1	1.410000E+0
3.522000E+0	2.824804E-2	1.279913E+0	3.301310E+2	6.766900E+1	1.410000E+0
3.603000E+0	2.824604E-2	1.279768E+0	3.301310E+2	6.766900E+1	1.410000E+0
3.612000E+0	2.824604E-2	1.279768E+0	3.301310E+2	6.766900E+1	1.410000E+0
3.693000E+0	2.825225E-2	1.279832E+0	3.301310E+2	6.766900E+1	1.410000E+0
3.702000E+0	2.825225E-2	1.279832E+0	3.301310E+2	6.766900E+1	1.410000E+0
3.783000E+0	3.913380E-2	1.803141E+0	3.301310E+2	6.766900E+1	1.410000E+0
3.792000E+0	3.913380E-2	1.803141E+0	3.301310E+2	6.766900E+1	1.410000E+0
3.904000E+0	3.918613E-2	1.806087E+0	3.301310E+2	6.766900E+1	1.410000E+0
3.917000E+0	3.918613E-2	1.806087E+0	3.301310E+2	6.766900E+1	1.410000E+0
4.003000E+0	3.918392E-2	1.805994E+0	3.301310E+2	6.766900E+1	1.410000E+0
4.013000E+0	3.918392E-2	1.805994E+0	3.301310E+2	6.766900E+1	1.410000E+0
4.093000E+0	3.918091E-2	1.805977E+0	3.301310E+2	6.766900E+1	1.410000E+0
4.102000E+0	3.918091E-2	1.805977E+0	3.301310E+2	6.766900E+1	1.410000E+0
4.184000E+0	3.917149E-2	1.805810E+0	3.301310E+2	6.766900E+1	1.410000E+0
4.193000E+0	3.917149E-2	1.805810E+0	3.301310E+2	6.766900E+1	1.410000E+0
4.273000E+0	3.918372E-2	1.806233E+0	3.301310E+2	6.766900E+1	1.410000E+0
