Sample;s6(j)
V-V length(cm);1.000000
Field (T);4.018088
Temp (K);4.200000
Angle (deg.);0.000000
Field(T)_memo;4.000000
Time(sec.)	Current(A)	Voltage(uV)	Temp.1(K)	Temp.2(K)	Temp.3(K)
0.000000E+0	7.953763E-4	-3.514901E-6	3.301310E+2	6.766900E+1	1.410000E+0
9.400000E-2	7.845501E-4	1.004258E-6	3.301310E+2	6.766900E+1	1.410000E+0
1.020000E-1	7.845501E-4	1.004258E-6	3.301310E+2	6.766900E+1	1.410000E+0
1.870000E-1	7.951759E-4	-1.054470E-5	3.301310E+2	6.766900E+1	1.410000E+0
1.950000E-1	7.951759E-4	-1.054470E-5	3.301310E+2	6.766900E+1	1.410000E+0
2.770000E-1	1.179704E-2	2.008515E-6	3.301310E+2	6.766900E+1	1.410000E+0
2.860000E-1	1.179704E-2	2.008515E-6	3.301310E+2	6.766900E+1	1.410000E+0
3.670000E-1	1.180486E-2	-2.309792E-5	3.301310E+2	6.766900E+1	1.410000E+0
3.760000E-1	1.180486E-2	-2.309792E-5	3.301310E+2	6.766900E+1	1.410000E+0
4.560000E-1	2.283018E-2	1.084598E-4	3.301310E+2	6.766900E+1	1.410000E+0
4.650000E-1	2.283018E-2	1.084598E-4	3.301310E+2	6.766900E+1	1.410000E+0
5.780000E-1	2.284361E-2	1.300513E-4	3.301310E+2	6.766900E+1	1.410000E+0
5.910000E-1	2.284361E-2	1.300513E-4	3.301310E+2	6.766900E+1	1.410000E+0
6.760000E-1	2.832209E-2	1.048445E-3	3.301310E+2	6.766900E+1	1.410000E+0
6.850000E-1	2.832209E-2	1.048445E-3	3.301310E+2	6.766900E+1	1.410000E+0
7.670000E-1	2.836098E-2	1.074053E-3	3.301310E+2	6.766900E+1	1.410000E+0
7.760000E-1	2.836098E-2	1.074053E-3	3.301310E+2	6.766900E+1	1.410000E+0
8.570000E-1	3.728240E-2	5.368761E-3	3.301310E+2	6.766900E+1	1.410000E+0
8.660000E-1	3.728240E-2	5.368761E-3	3.301310E+2	6.766900E+1	1.410000E+0
9.470000E-1	3.929789E-2	6.574874E-3	3.301310E+2	6.766900E+1	1.410000E+0
9.560000E-1	3.929789E-2	6.574874E-3	3.301310E+2	6.766900E+1	1.410000E+0
1.068000E+0	4.800118E-2	1.308045E-2	3.301310E+2	6.766900E+1	1.410000E+0
1.077000E+0	4.800118E-2	1.308045E-2	3.301310E+2	6.766900E+1	1.410000E+0
1.157000E+0	5.033443E-2	1.504076E-2	3.301310E+2	6.766900E+1	1.410000E+0
1.166000E+0	5.033443E-2	1.504076E-2	3.301310E+2	6.766900E+1	1.410000E+0
1.246000E+0	5.034366E-2	1.507943E-2	3.301310E+2	6.766900E+1	1.410000E+0
1.255000E+0	5.034366E-2	1.507943E-2	3.301310E+2	6.766900E+1	1.410000E+0
1.338000E+0	6.136697E-2	2.482022E-2	3.301310E+2	6.766900E+1	1.410000E+0
1.347000E+0	6.136697E-2	2.482022E-2	3.301310E+2	6.766900E+1	1.410000E+0
1.428000E+0	6.135935E-2	2.490056E-2	3.301310E+2	6.766900E+1	1.410000E+0
1.437000E+0	6.135935E-2	2.490056E-2	3.301310E+2	6.766900E+1	1.410000E+0
1.549000E+0	7.238728E-2	3.556980E-2	3.301310E+2	6.766900E+1	1.410000E+0
1.561000E+0	7.238728E-2	3.556980E-2	3.301310E+2	6.766900E+1	1.410000E+0
1.648000E+0	7.238828E-2	3.563156E-2	3.301310E+2	6.766900E+1	1.410000E+0
1.657000E+0	7.238828E-2	3.563156E-2	3.301310E+2	6.766900E+1	1.410000E+0
1.738000E+0	7.633966E-2	3.954364E-2	3.301310E+2	6.766900E+1	1.410000E+0
1.746000E+0	7.633966E-2	3.954364E-2	3.301310E+2	6.766900E+1	1.410000E+0
1.828000E+0	7.784110E-2	4.111581E-2	3.301310E+2	6.766900E+1	1.410000E+0
1.837000E+0	7.784110E-2	4.111581E-2	3.301310E+2	6.766900E+1	1.410000E+0
1.918000E+0	8.708089E-2	5.113880E-2	3.301310E+2	6.766900E+1	1.410000E+0
1.927000E+0	8.708089E-2	5.113880E-2	3.301310E+2	6.766900E+1	1.410000E+0
2.041000E+0	8.887624E-2	5.312271E-2	3.301310E+2	6.766900E+1	1.410000E+0
2.050000E+0	8.887624E-2	5.312271E-2	3.301310E+2	6.766900E+1	1.410000E+0
2.134000E+0	9.664847E-2	6.571911E-2	3.301310E+2	6.766900E+1	1.410000E+0
2.143000E+0	9.664847E-2	6.571911E-2	3.301310E+2	6.766900E+1	1.410000E+0
2.228000E+0	9.990236E-2	6.641456E-2	3.301310E+2	6.766900E+1	1.410000E+0
2.237000E+0	9.990236E-2	6.641456E-2	3.301310E+2	6.766900E+1	1.410000E+0
2.318000E+0	9.989133E-2	6.640653E-2	3.301310E+2	6.766900E+1	1.410000E+0
2.327000E+0	9.989133E-2	6.640653E-2	3.301310E+2	6.766900E+1	1.410000E+0
2.408000E+0	1.109209E-1	8.091001E-2	3.301310E+2	6.766900E+1	1.410000E+0
2.416000E+0	1.109209E-1	8.091001E-2	3.301310E+2	6.766900E+1	1.410000E+0
2.529000E+0	1.109357E-1	8.089696E-2	3.301310E+2	6.766900E+1	1.410000E+0
2.542000E+0	1.109357E-1	8.089696E-2	3.301310E+2	6.766900E+1	1.410000E+0
2.625000E+0	1.218824E-1	9.639567E-2	3.301310E+2	6.766900E+1	1.410000E+0
2.634000E+0	1.218824E-1	9.639567E-2	3.301310E+2	6.766900E+1	1.410000E+0
2.718000E+0	1.219003E-1	9.648454E-2	3.301310E+2	6.766900E+1	1.410000E+0
2.726000E+0	1.219003E-1	9.648454E-2	3.301310E+2	6.766900E+1	1.410000E+0
2.808000E+0	1.303485E-1	1.089137E-1	3.301310E+2	6.766900E+1	1.410000E+0
2.817000E+0	1.303485E-1	1.089137E-1	3.301310E+2	6.766900E+1	1.410000E+0
2.898000E+0	1.329577E-1	1.127826E-1	3.301310E+2	6.766900E+1	1.410000E+0
2.907000E+0	1.329577E-1	1.127826E-1	3.301310E+2	6.766900E+1	1.410000E+0
3.019000E+0	1.371362E-1	1.192194E-1	3.301310E+2	6.766900E+1	1.410000E+0
3.028000E+0	1.371362E-1	1.192194E-1	3.301310E+2	6.766900E+1	1.410000E+0
3.109000E+0	1.384654E-1	1.212229E-1	3.301310E+2	6.766900E+1	1.410000E+0
3.117000E+0	1.384654E-1	1.212229E-1	3.301310E+2	6.766900E+1	1.410000E+0
3.199000E+0	1.467222E-1	1.341035E-1	3.301310E+2	6.766900E+1	1.410000E+0
3.207000E+0	1.467222E-1	1.341035E-1	3.301310E+2	6.766900E+1	1.410000E+0
3.289000E+0	1.495096E-1	1.385288E-1	3.301310E+2	6.766900E+1	1.410000E+0
3.297000E+0	1.495096E-1	1.385288E-1	3.301310E+2	6.766900E+1	1.410000E+0
3.379000E+0	1.495036E-1	1.385549E-1	3.301310E+2	6.766900E+1	1.410000E+0
3.388000E+0	1.495036E-1	1.385549E-1	3.301310E+2	6.766900E+1	1.410000E+0
3.499000E+0	1.605243E-1	1.567581E-1	3.301310E+2	6.766900E+1	1.410000E+0
3.512000E+0	1.605243E-1	1.567581E-1	3.301310E+2	6.766900E+1	1.410000E+0
3.595000E+0	1.605331E-1	1.568158E-1	3.301310E+2	6.766900E+1	1.410000E+0
3.603000E+0	1.605331E-1	1.568158E-1	3.301310E+2	6.766900E+1	1.410000E+0
3.689000E+0	1.715281E-1	1.760343E-1	3.301310E+2	6.766900E+1	1.410000E+0
3.698000E+0	1.715281E-1	1.760343E-1	3.301310E+2	6.766900E+1	1.410000E+0
3.779000E+0	1.715235E-1	1.761638E-1	3.301310E+2	6.766900E+1	1.410000E+0
3.789000E+0	1.715235E-1	1.761638E-1	3.301310E+2	6.766900E+1	1.410000E+0
3.869000E+0	1.772995E-1	1.867819E-1	3.301310E+2	6.766900E+1	1.410000E+0
3.878000E+0	1.772995E-1	1.867819E-1	3.301310E+2	6.766900E+1	1.410000E+0
3.991000E+0	1.825613E-1	1.964885E-1	3.301310E+2	6.766900E+1	1.410000E+0
4.001000E+0	1.825613E-1	1.964885E-1	3.301310E+2	6.766900E+1	1.410000E+0
4.079000E+0	1.862264E-1	2.035514E-1	3.301310E+2	6.766900E+1	1.410000E+0
4.089000E+0	1.862264E-1	2.035514E-1	3.301310E+2	6.766900E+1	1.410000E+0
4.169000E+0	1.880345E-1	2.069649E-1	3.301310E+2	6.766900E+1	1.410000E+0
4.179000E+0	1.880345E-1	2.069649E-1	3.301310E+2	6.766900E+1	1.410000E+0
